Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
LeafHorizWidth,Y03,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y03,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y03,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y03,T0,NA,NA,NA,NA,NA,NA
LK,Y03,T0,NA,NA,NA,NA,NA,NA
LNa,Y03,T0,NA,NA,NA,NA,NA,NA
RDM,Y03,T0,4.46,4.35,4.14,0.91,1.87,2.33
RFM,Y03,T0,21.1,23.62,20.06,14.63,32.94,38.51
RK,Y03,T0,NA,NA,NA,NA,NA,NA
RL,Y03,T0,6.7,8.7,9.4,8,9.5,6.7
RNa,Y03,T0,NA,NA,NA,NA,NA,NA
SDM,Y03,T0,6.4,7.53,8.57,6.61,6.84,7.8
SFM,Y03,T0,82.82,95.79,106.18,75.4,82.74,101.59
SL,Y03,T0,2.8,2.7,4.1,2.6,2.4,3.6
ST,Y03,T0,0.78,0.79,NA,0.74,0.78,0.76
TDM,Y03,T0,10.86,11.88,12.71,7.52,8.71,10.13
TFM,Y03,T0,103.92,119.41,126.24,90.03,115.68,140.1
WC,Y03,T0,93.06,107.53,113.53,82.51,106.97,129.97
WCn,Y03,T0,0.895496536,0.900510845,0.899318758,0.916472287,0.924706086,0.927694504
dGP,Y04,control,2630798,3641771,3700181,3724918,2629692,4118478
GPF,Y04,control,2833245,3879855,3864204,3912061,2807080,4312850
GPI,Y04,control,202447,238084,164023,187143,177388,194372
L4A,Y04,control,NA,23.7158,21.3593,22.2176,24.3554,25.4353
L4DM,Y04,control,13,19.91,17.54,19.84,22.74,21.3
L4FM,Y04,control,193.92,224.78,211.09,229.88,253.44,262.7
LeafElongationFactor,Y04,control,0.6596,0.6234,0.6694,0.5314,0.5602,0.5592
LeafHorizWidth,Y04,control,5.3579,5.8341,5.9362,5.0177,5.2898,5.63
LeafPerimeter,Y04,control,NA,64.965,58.8667,58.7501,63.8774,64.0134
LeafSucculence,Y04,control,NA,8.638544768,9.061626551,9.453766383,9.472232031,9.490747111
LeafVertLength,Y04,control,8.1228,9.3581,8.8673,9.4427,9.4427,10.0688
LK,Y04,control,94.24054831,73.94933372,114.9573754,107.5985527,117.4685739,118.8898094
LNa,Y04,control,13.59717002,13.81363792,8.834926376,9.283945915,12.09362809,8.823529412
RDM,Y04,control,7.47,18.28,9.45,9.21,13.89,12.44
RFM,Y04,control,247.85,NA,273.62,263.72,302.34,293.06
RK,Y04,control,19.96838339,63.25520124,53.942537,56.18639739,34.66805339,43.11880835
RL,Y04,control,15,17.2,17.5,15,NA,16
RNa,Y04,control,9.048173725,9.652948124,NA,9.999607088,9.533714682,9.425557694
SDM,Y04,control,55.27,83.77,67.83,68.79,73.21,83.38
SFM,Y04,control,845.96,1698.65,1363.58,1274.62,1435.07,1688.02
SL,Y04,control,7,7.8,7,7.2,7,8.5
ST,Y04,control,2.16,2.76,NA,NA,2.58,2.71
TDM,Y04,control,75.74,121.96,94.82,97.84,109.84,117.12
TFM,Y04,control,1093.81,2157.21,1637.2,1538.34,1737.41,1981.08
WC,Y04,control,1018.07,2035.25,1542.38,1440.5,1627.57,1863.96
WCn,Y04,control,0.930755799,0.943464011,0.942084046,0.936398976,0.936779459,0.940880732
dGP,Y04,salt,904919,695292,876981,584797,696955,835880
GPF,Y04,salt,1123624,882597,1043868,770371,944291,998195
GPI,Y04,salt,218705,187305,166887,185574,247336,162315
L4A,Y04,salt,6.0511,5.2403,4.04,4.5967,4.7208,4.342
L4DM,Y04,salt,5.43,4.38,3.62,4.17,4.76,4.24
L4FM,Y04,salt,63.3,51.61,45.57,58.63,52.98,51.95
LeafElongationFactor,Y04,salt,0.6701,0.6999,0.7516,0.8269,0.6252,0.69
LeafHorizWidth,Y04,salt,3.2657,2.9256,2.8235,3.0786,2.6874,2.7555
LeafPerimeter,Y04,salt,22.5678,20.917,17.5182,17.0909,20.2955,18.3728
LeafSucculence,Y04,salt,9.563550429,9.012842776,10.38366337,11.84762982,10.21437045,10.98802395
LeafVertLength,Y04,salt,4.8737,4.1798,3.7568,3.7229,4.2983,3.9937
LK,Y04,salt,39.74425436,36.31166631,33.84982122,NA,41.1654915,34.16474534
LNa,Y04,salt,194.1420425,199.1319077,210.250298,230.2607418,201.8871837,224.1668413
RDM,Y04,salt,5.37,4.72,4.39,5.54,5.29,5.08
RFM,Y04,salt,81.93,56.01,63.78,77.35,68.29,62.64
RK,Y04,salt,70.92476489,52.83681029,70.29802997,78.61022142,52.85714286,57.24461432
RL,Y04,salt,14,11,11,12.5,12,15
RNa,Y04,salt,214.8641588,168.6488594,204.1589493,208.5364155,206.7460317,158.5302293
SDM,Y04,salt,28.56,24.86,27.97,25.4,28.04,26.49
SFM,Y04,salt,491.71,419.33,442.69,421.62,502.51,433.43
SL,Y04,salt,5.5,4.8,5.1,4.9,5.5,5
ST,Y04,salt,1.76,1.73,1.8,1.79,1.05,0.14
TDM,Y04,salt,39.36,33.96,35.98,35.11,38.09,35.81
TFM,Y04,salt,573.64,475.34,506.47,498.97,570.8,496.07
